mk.names	chr	pos.ind	pos.cM	N	n.cr	n.par	n.anc	n.biall	p.ts	p.vs	bias
PZE-101226279	1	126	148.9	1	0	0	1	0	2.8	0	1
PZE-101225664	1	128	150.6	2	0	0	2	0	7.4	0	1
PZE-102003236	2	4	4.8	1	0	1	0	0	2	-0.3	1.1
PZE-102072547	2	46	62.6	12	0	4	8	0	6.9	-0.4	1.1
PZE-102074320	2	47	63.7	2	0	2	0	0	6.8	-3.5	1.5
PZE-102105595	2	51	68.7	1	0	1	0	0	6.6	2.2	0.7
PZE-102107953	2	52	68.8	3	0	3	0	0	6.3	-0.9	1.1
PZE-102111317	2	53	70.6	4	0	0	4	0	5.2	0.2	1
PZE-102116456	2	54	71.5	2	0	0	0	2	3.5	3	0.1
PZE-102123339	2	56	73.7	1	0	0	1	0	4.7	0	1
PZE-102148280	2	73	93.6	1	0	0	1	0	1.5	0	1
PZE-103012907	3	11	19.1	2	0	1	1	0	7.5	-7.7	2
PZE-103008756	3	12	20.7	5	0	0	3	2	4.1	-1.9	1.5
PZE-103017663	3	19	31.3	1	0	1	0	0	6.7	-5.1	1.8
PZE-103019891	3	26	40.5	1	0	1	0	0	8.2	-5.3	1.6
PZE-103070612	3	35	49.9	14	0	0	0	14	4.9	2	0.6
PZE-103096999	3	47	63.8	2	0	0	0	2	4.6	1.6	0.7
PZE-103103922	3	53	70.3	12	0	0	0	12	4.1	0.4	0.9
PZE-103108797	3	56	73.3	1	0	1	0	0	5.3	-2.1	1.4
PZE-103110385	3	58	75.4	15	0	3	4	8	5	-0.3	1.1
PZE-103113055	3	59	77.5	1	0	0	1	0	5.8	0	1
PZE-103119721	3	61	79.2	2	0	2	0	0	7.6	0.2	1
PZE-103119152	3	62	81.3	1	0	1	0	0	9.3	0.6	0.9
PZE-103122514	3	63	82.1	1	0	0	0	1	2.7	1	0.6
PZE-103183069	3	113	145	1	0	0	0	1	4.9	6.2	-0.3
PZE-103185158	3	116	148.1	4	0	0	4	0	4.9	0	1
PZE-103186727	3	117	149.5	1	0	0	0	1	3.1	5.1	-0.6
PZE-104011437	4	21	27.4	1	0	0	1	0	1.3	0	1
PZE-104022252	4	36	48.8	1	0	0	1	0	1.3	0	1
PZE-104082907	4	47	60.9	3	0	0	0	3	4.5	-3.1	1.7
PZE-104086186	4	49	63.1	1	0	0	0	1	4	-10.6	3.6
PZE-104095745	4	56	71.5	1	0	0	1	0	6.7	0	1
PZE-104096885	4	57	72.3	2	0	1	0	1	4.5	-2.7	1.6
PZE-104105683	4	67	83.9	1	0	1	0	0	9.1	-1.5	1.2
PZE-104107835	4	70	87.6	1	0	0	0	1	0.5	-0.2	1.4
PZE-104114570	4	79	99.3	1	0	1	0	0	7.1	-3.1	1.4
PZE-104116539	4	81	102.4	2	0	0	2	0	5.2	0	1
PZE-104132510	4	87	108.3	11	0	0	1	10	6	3.2	0.5
PZE-104132368	4	88	109.2	6	0	5	1	0	7.4	3.6	0.5
PZE-104137686	4	89	111	6	0	0	6	0	6.4	0	1
PZE-104139877	4	90	111.9	8	0	0	8	0	6.2	0.9	0.9
PZE-104142446	4	91	112.7	2	0	0	2	0	5.5	1.1	0.8
PZE-104143542	4	92	113.9	2	0	0	2	0	5.8	0	1
PZE-104140347	4	93	115.3	35	0	2	33	0	6.7	1.7	0.7
PZE-104146078	4	94	117.4	1	0	1	0	0	8.7	3.9	0.6
PZE-104149854	4	98	121.7	5	0	0	5	0	8.5	-0.3	1
PZE-104152590	4	101	125.7	1	0	1	0	0	8.7	5.1	0.4
PZE-104156379	4	106	132	2	0	0	0	2	3.7	-5	2.4
PZE-105000613	5	1	0.9	1	0	1	0	0	1.5	1	0.3
PZE-105000100	5	2	2.1	2	0	1	1	0	6.6	-3.3	1.5
PZE-105002659	5	4	5.7	6	0	1	4	1	5.4	-1	1.2
PZE-105014611	5	13	23.8	1	0	0	1	0	1.6	0	1
PZE-105016072	5	14	25.4	1	0	0	1	0	4.9	0	1
PZE-105061593	5	39	58.1	2	0	0	0	2	3.7	2.9	0.2
PZE-105058889	5	40	58.9	2	0	0	0	2	3.8	-0.8	1.2
PZE-105063667	5	41	60.8	34	0	2	0	32	4.3	1.9	0.6
PZA00626.3	5	42	61.9	4	0	0	0	4	3.9	1.5	0.6
PZE-105091638	5	44	64.2	1	0	0	0	1	5.3	6	-0.1
PZE-105125373	5	60	81	1	0	1	0	0	1.5	2	-0.3
PZE-105163439	5	85	113.2	1	0	0	0	1	3	-5.1	2.7
PZE-105167010	5	88	117	1	0	0	0	1	3.3	-6	2.8
PZE-105169622	5	90	119.9	3	0	0	0	3	3.1	0.8	0.7
PZE-105175259	5	93	124.9	2	0	0	0	2	2.2	-2.5	2.1
PZE-105177818	5	94	129.1	1	0	0	0	1	2.9	0.9	0.7
PZE-105179864	5	96	131.5	1	0	0	0	1	3	-5.5	2.8
PZE-106000117	6	1	0	4	0	1	0	3	3.1	1.4	0.5
PZE-106001656	6	3	2.6	3	0	0	2	1	3.5	-0.4	1.1
PZE-106003350	6	4	3.6	1	0	0	1	0	3.1	0	1
PZE-106006805	6	6	6.8	1	0	0	1	0	5.6	0	1
PZE-106040089	6	16	18.1	2	0	0	0	2	4.7	-3.5	1.7
PZE-106044620	6	18	20.4	13	0	0	0	13	3.6	-0.8	1.2
PZE-106048524	6	22	25.5	1	0	0	0	1	3.8	-1.4	1.4
PZE-106049631	6	24	28.3	1	0	0	0	1	3.2	4.5	-0.4
PZE-106058286	6	30	36.2	1	0	0	0	1	3.7	-1.8	1.5
PZE-106060612	6	35	41.9	1	0	0	0	1	4.5	-5.8	2.3
PZE-106060733	6	36	42.3	3	0	0	1	2	5	-0.2	1
PZE-106083274	6	55	63.7	1	0	1	0	0	1.2	-0.8	1.7
PZE-106109464	6	73	88.1	1	0	1	0	0	1.6	0.7	0.6
PZE-107000121	7	1	0.3	1	0	1	0	0	1.1	-1.2	2.1
PZE-107063166	7	38	54.7	2	0	0	0	2	3.7	0.2	0.9
PZE-107083378	7	53	72.7	1	0	0	0	1	3.4	10.7	-2.1
PZE-107084721	7	57	77	19	0	4	9	6	6.6	3.6	0.5
PZE-107093975	7	58	77.7	45	0	4	38	3	8.3	1.3	0.8
PZE-107097289	7	60	79.9	3	0	2	1	0	7.5	-0.9	1.1
PZE-107109969	7	64	84.5	1	0	1	0	0	8.6	1.1	0.9
PZE-107113484	7	66	88.2	5	0	0	1	4	4.5	7.4	-0.6
PZE-107116723	7	68	91.6	1	0	1	0	0	8.2	3.3	0.6
PZE-107118905	7	69	92.9	1	0	1	0	0	6.9	3.6	0.5
PZE-107119249	7	71	95.1	4	0	0	0	4	5.9	5.2	0.1
PZE-107124659	7	75	104.4	2	0	2	0	0	7.9	-2.9	1.4
PZE-107128534	7	79	109	1	0	1	0	0	1.7	-2.2	2.3
PZE-108009888	8	18	25.1	6	0	0	0	6	6.6	3.4	0.5
PZE-108011044	8	19	26.5	1	0	1	0	0	9.2	-15.9	2.7
PZE-108012841	8	21	28.8	1	0	1	0	0	10.7	-0.7	1.1
PZE-108013355	8	23	31.5	1	0	1	0	0	10.8	3.2	0.7
PZE-108015266	8	24	33.2	1	0	1	0	0	14.1	1.5	0.9
PZE-108015742	8	25	34	10	0	10	0	0	10.7	10.5	0
PZE-108016622	8	26	35.2	32	0	32	0	0	10.9	10.5	0
PZE-108017647	8	27	37	25	0	15	9	1	11.7	5.6	0.5
PZE-108018114	8	28	38.7	3	0	2	0	1	11.5	9.2	0.2
PZE-108019862	8	29	39.3	15	0	14	0	1	12.2	7.2	0.4
PZE-108042026	8	33	44.4	1	0	0	1	0	10.7	0	1
PZE-108042286	8	34	45.7	1	0	0	0	1	3.1	7.5	-1.4
PZE-108044274	8	35	46.7	4	0	0	0	4	8.2	3.3	0.6
PZE-108048156	8	36	47.1	1	0	0	0	1	10.9	10.8	0
PZE-108051664	8	37	48.2	1	0	0	0	1	2.9	10.5	-2.6
PZE-108077298	8	55	69.1	1	0	0	0	1	3.5	-0.6	1.2
PZE-108079510	8	56	70.4	1	0	0	0	1	3.4	-8	3.4
PZE-108110041	8	69	85.7	1	0	0	0	1	3.7	4.9	-0.3
PZA00516.2	8	72	89	2	0	0	2	0	2.8	0	1
PZE-108120405	8	78	98.2	1	0	0	1	0	4	0	1
PZE-109077374	9	51	63.3	3	0	0	1	2	5.7	0.9	0.8
PZE-109080508	9	53	65.4	57	0	0	0	57	6.4	7.7	-0.2
PZE-109091272	9	57	70.4	4	0	1	3	0	9	0.9	0.9
PZE-109093779	9	58	71.6	31	0	31	0	0	9.9	3.7	0.6
PZE-109092156	9	59	72.3	2	0	2	0	0	12.7	-2.5	1.2
PZE-109114072	9	82	103.4	1	0	1	0	0	7.3	-2.6	1.4
PZE-110008044	10	12	23.9	36	0	34	1	1	10.1	10.1	0
PZE-110009032	10	13	24	19	0	19	0	0	10.5	7.1	0.3
PZE-110009618	10	14	25.7	2	0	2	0	0	11.4	0.8	0.9
PZE-110014876	10	22	36.4	21	0	21	0	0	10.5	7.1	0.3
PZE-110013774	10	23	36.8	10	0	10	0	0	10.7	5.1	0.5
PZE-110045755	10	31	46.2	1	0	0	1	0	8.1	0	1
PZE-110108403	10	70	103.5	1	0	0	0	1	0.8	-0.8	2
