mk.names	chr	pos.ind	pos.cM	N	n.cr	n.par	n.anc	n.biall	p.ts	p.vs	bias
PZE-106060570	6	38	40.9	10	0	1	1	8	8.8	2.9	0.7
PZE-106060535	6	39	41.7	22	0	5	11	6	8.5	3.9	0.5
PZE-106062474	6	40	43.1	1	0	0	0	1	5.2	12.5	-1.4
PZE-106062326	6	41	44.5	2	0	0	0	2	7.5	-0.3	1
PZE-107023670	7	34	44.1	18	0	0	0	18	8.2	3.9	0.5
PZE-107063166	7	44	54.7	2	0	0	2	0	10.7	0	1
PZE-107066645	7	47	58.2	9	0	0	0	9	10.3	3.8	0.6
PZE-107070986	7	48	59.2	1	0	1	0	0	15.7	1.7	0.9
PZB01186.3	7	49	60.1	4	0	4	0	0	11.2	-0.2	1
PZA03477.1	7	50	60.9	15	0	1	0	14	9.2	5.4	0.4
PZE-107069959	7	51	62	1	0	1	0	0	12	-3.9	1.3
PZE-107072681	7	52	63.2	46	0	0	0	46	7.9	9.1	-0.2
PZE-107073395	7	55	65.9	4	0	1	3	0	9.1	0.2	1
PZE-108002130	8	3	3.3	5	0	0	0	5	4.9	-2.4	1.5
PZE-108004841	8	9	12.6	1	0	0	1	0	6.5	0	1
PZE-108005623	8	11	15.4	3	0	0	0	3	4.4	-0.2	1
PZE-108007014	8	14	18.6	1	0	0	0	1	3.9	-0.8	1.2
PZE-108008540	8	16	20.9	3	0	0	1	2	4.9	-0.1	1
PZE-108009299	8	17	22.4	8	0	0	0	8	4.9	0.2	1
PZE-108011044	8	20	26.5	3	0	0	3	0	4.9	0	1
PZE-108011046	8	21	26.9	9	0	0	9	0	5.8	0	1
PZE-108011830	8	22	28.2	6	0	0	6	0	7.1	0	1
PZE-108015997	8	26	34.2	1	0	1	0	0	7.6	1.1	0.9
PZE-108017417	8	27	35.6	1	0	1	0	0	11.4	-3.2	1.3
PZE-108018114	8	29	38.7	5	0	0	0	5	5.8	-0.7	1.1
PZE-108019862	8	30	39.3	2	0	0	0	2	4.9	3	0.4
PZE-108058098	8	42	51.7	3	0	1	0	2	5.4	8.6	-0.6
PZE-108058478	8	43	53.2	3	0	3	0	0	9.7	2.5	0.7
PZE-108060440	8	44	53.3	3	0	2	1	0	8.1	-2	1.2
PZE-108080140	8	62	72.3	1	0	1	0	0	9.9	-0.9	1.1
PZE-108082079	8	63	73.4	1	0	1	0	0	11.5	2.7	0.8
PZA03608.2	8	64	74.7	2	0	0	0	2	3.3	0.8	0.8
PZE-108088344	8	65	75.4	1	0	0	0	1	4.7	-3.8	1.8
PZE-108104357	8	71	81.9	1	0	1	0	0	8.4	-9.3	2.1
PZE-108116404	8	80	92.1	1	0	0	0	1	4.5	-7.2	2.6
PZE-108117199	8	82	94.2	1	0	0	0	1	6.8	-5.2	1.8
PZE-109049656	9	45	52.3	1	0	1	0	0	8.4	0.9	0.9
PZE-109083369	9	57	64.8	2	0	1	0	1	8.5	6.4	0.2
PZE-109085819	9	58	65.8	2	0	0	0	2	5.7	9.4	-0.6
PZE-109086097	9	59	66.4	19	0	0	9	10	7.4	5.2	0.3
PZE-109087846	9	60	67.9	60	0	12	48	0	9.5	1.6	0.8
PZE-109089873	9	61	69.2	2	0	0	2	0	10.3	0	1
PZE-109091272	9	62	70.4	10	0	1	9	0	9.5	0.4	1
PZE-109092637	9	63	71.3	1	0	0	1	0	7.5	0	1
PZE-109106839	9	80	90.6	1	0	0	0	1	3.4	1	0.7
PZE-109115209	9	89	104.1	1	0	0	0	1	5.6	0.2	1
PZE-110008882	10	15	23.2	1	0	0	0	1	4.6	-0.8	1.2
PZE-110009944	10	19	28.3	1	0	0	1	0	3.5	0	1
