"mk.id" "chr" "cM"
"3957" "PZE-101027158" 1 30.4
"3960" "PZE-101027351" 1 30.6
"3968" "PZE-101027807" 1 30.9
"3947" "PZE-101026218" 1 31.5
"3946" "PZE-101026206" 1 31.5
"3972" "PZE-101028121" 1 31.6
"3990" "PZE-101029990" 1 31.6
"3988" "PZE-101029820" 1 31.8
"3250" "PZB00718.3" 1 31.8
"3991" "PZE-101029991" 1 31.8
"3974" "PZE-101028242" 1 31.9
"3943" "PZE-101026095" 1 32
"3944" "PZE-101026096" 1 32
"3981" "PZE-101029587" 1 32.1
"3984" "PZE-101029707" 1 32.2
"3986" "PZE-101029748" 1 32.4
"3999" "PZE-101030261" 1 33.1
"3975" "PZE-101028351" 1 33.1
"3971" "PZE-101028104" 1 33.4
"3997" "PZE-101030251" 1 34.3
"3979" "PZE-101029123" 1 34.4
"4011" "PZE-101030875" 1 34.5
"4009" "PZE-101030692" 1 34.5
"3978" "PZE-101028930" 1 34.7
"3995" "PZE-101030220" 1 35
"3985" "PZE-101029737" 1 35.1
"4016" "PZE-101031077" 1 35.2
"3992" "PZE-101030022" 1 35.4
"4024" "PZE-101032015" 1 35.7
"4006" "PZE-101030561" 1 35.8
"3994" "PZE-101030211" 1 35.8
"4021" "PZE-101031636" 1 35.9
"2305" "PZA00358.12" 1 36
"4028" "PZE-101032249" 1 36.1
"4027" "PZE-101032246" 1 36.1
"4022" "PZE-101031655" 1 36.1
"4007" "PZE-101030616" 1 36.6
"4051" "PZE-101033184" 1 36.7
"4042" "PZE-101032956" 1 37
"4045" "PZE-101032974" 1 37.1
"4048" "PZE-101033005" 1 37.1
"4044" "PZE-101032973" 1 37.1
"4053" "PZE-101033613" 1 37.2
"4050" "PZE-101033119" 1 37.3
"4066" "PZE-101034431" 1 37.3
"4052" "PZE-101033489" 1 37.7
"4069" "PZE-101035008" 1 37.8
"4025" "PZE-101032230" 1 37.8
"4026" "PZE-101032231" 1 37.8
"4076" "PZE-101035737" 1 38.3
"3553" "PZD00096.1" 1 38.3
"4054" "PZE-101033622" 1 38.5
"4086" "PZE-101036609" 1 38.6
"4065" "PZE-101034427" 1 38.7
"4079" "PZE-101036305" 1 38.8
"4074" "PZE-101035640" 1 39
"4057" "PZE-101033968" 1 39
"4087" "PZE-101036683" 1 39
"4072" "PZE-101035341" 1 39.2
"4077" "PZE-101036181" 1 39.2
"4081" "PZE-101036318" 1 39.3
"4082" "PZE-101036338" 1 39.3
"4094" "PZE-101037191" 1 39.6
"4118" "PZE-101038611" 1 40.5
"4114" "PZE-101038492" 1 40.5
"4093" "PZE-101037142" 1 40.6
"4122" "PZE-101038989" 1 40.7
"4123" "PZE-101039024" 1 40.7
"4119" "PZE-101038678" 1 40.7
"4088" "PZE-101036799" 1 40.8
"4113" "PZE-101038315" 1 40.8
"4091" "PZE-101036991" 1 40.8
"4101" "PZE-101037854" 1 41.1
"4095" "PZE-101037211" 1 41.1
"4100" "PZE-101037751" 1 41.1
"4106" "PZE-101038176" 1 41.2
"4097" "PZE-101037265" 1 41.3
"4096" "PZE-101037244" 1 41.3
"4126" "PZE-101039207" 1 41.5
"4131" "PZE-101039400" 1 41.7
"4125" "PZE-101039199" 1 41.9
"4153" "PZE-101040838" 1 42
"4165" "PZE-101042009" 1 42.4
"4146" "PZE-101040607" 1 42.5
"4147" "PZE-101040619" 1 42.5
"4139" "PZE-101039655" 1 42.5
"4157" "PZE-101041178" 1 42.5
"4136" "PZE-101039624" 1 42.6
"4137" "PZE-101039642" 1 42.6
"4138" "PZE-101039648" 1 42.6
"4150" "PZE-101040678" 1 42.6
"4149" "PZE-101040677" 1 42.6
"4128" "PZE-101039351" 1 42.8
"4134" "PZE-101039466" 1 42.9
"4168" "PZE-101042040" 1 42.9
"4167" "PZE-101042039" 1 42.9
"4135" "PZE-101039469" 1 43
"4176" "PZE-101042341" 1 43.1
"4190" "PZE-101043604" 1 43.2
"4170" "PZE-101042048" 1 43.3
"4178" "PZE-101043094" 1 43.3
"4179" "PZE-101043096" 1 43.3
"4161" "PZE-101041837" 1 43.4
"4162" "PZE-101041854" 1 43.5
"4164" "PZE-101041995" 1 43.6
"4151" "PZE-101040783" 1 43.6
"4159" "PZE-101041588" 1 43.6
"4189" "PZE-101043600" 1 43.8
"4182" "PZE-101043189" 1 43.9
"4180" "PZE-101043180" 1 43.9
"4181" "PZE-101043186" 1 43.9
"4196" "PZE-101043682" 1 44
"4186" "PZE-101043507" 1 44.1
"4219" "PZE-101045064" 1 44.1
"4215" "PZE-101045001" 1 44.1
"4218" "PZE-101045061" 1 44.2
"4172" "PZE-101042156" 1 44.2
"4171" "PZE-101042060" 1 44.2
"4173" "PZE-101042195" 1 44.2
"4203" "PZE-101044520" 1 44.2
"4191" "PZE-101043656" 1 44.2
"4213" "PZE-101044879" 1 44.2
"4174" "PZE-101042196" 1 44.2
"4193" "PZE-101043670" 1 44.3
"4208" "PZE-101044721" 1 44.3
"4226" "PZE-101045145" 1 44.3
"4192" "PZE-101043669" 1 44.3
"4216" "PZE-101045009" 1 44.4
"4214" "PZE-101044926" 1 44.4
"4177" "PZE-101042424" 1 44.4
"4227" "PZE-101045153" 1 44.5
"4187" "PZE-101043512" 1 44.5
"4231" "PZE-101045249" 1 44.6
"4221" "PZE-101045070" 1 44.6
"4220" "PZE-101045068" 1 44.6
"4204" "PZE-101044585" 1 44.9
"4217" "PZE-101045021" 1 45
"4207" "PZE-101044715" 1 45
"4200" "PZE-101044115" 1 45.1
"4228" "PZE-101045197" 1 45.1
"4230" "PZE-101045204" 1 45.1
"4225" "PZE-101045130" 1 45.2
"4255" "PZE-101046755" 1 45.2
"4250" "PZE-101046128" 1 45.3
"4286" "PZE-101049120" 1 45.4
"4267" "PZE-101047611" 1 45.4
"4285" "PZE-101049091" 1 45.4
"4258" "PZE-101046858" 1 45.5
"4209" "PZE-101044748" 1 45.5
"4259" "PZE-101046859" 1 45.5
"4245" "PZE-101046057" 1 45.7
"4272" "PZE-101048164" 1 45.7
"4271" "PZE-101048115" 1 45.8
"4244" "PZE-101046045" 1 45.8
"4210" "PZE-101044770" 1 45.8
"4279" "PZE-101048857" 1 45.9
"4302" "PZE-101050207" 1 46
"4261" "PZE-101046931" 1 46
"4260" "PZE-101046876" 1 46
"4251" "PZE-101046132" 1 46
"4294" "PZE-101049707" 1 46.1
"4270" "PZE-101047925" 1 46.2
"4265" "PZE-101047390" 1 46.3
"4246" "PZE-101046080" 1 46.5
"4293" "PZE-101049608" 1 46.5
"4276" "PZE-101048629" 1 46.6
"4277" "PZE-101048744" 1 46.7
"4266" "PZE-101047517" 1 46.8
"4289" "PZE-101049395" 1 46.9
"4296" "PZE-101049995" 1 47.1
"4297" "PZE-101050010" 1 47.1
"4301" "PZE-101050128" 1 47.1
"4357" "PZE-101053708" 1 47.1
"4280" "PZE-101048890" 1 47.2
"4306" "PZE-101050621" 1 47.3
"4360" "PZE-101053810" 1 47.4
"4387" "PZE-101054681" 1 47.4
"4364" "PZE-101053919" 1 47.5
"4356" "PZE-101053696" 1 47.6
"4347" "PZE-101053418" 1 47.6
"4326" "PZE-101052571" 1 47.8
"4331" "PZE-101052652" 1 47.8
"4307" "PZE-101050744" 1 47.8
"4329" "PZE-101052634" 1 47.8
"4330" "PZE-101052635" 1 47.8
"4369" "PZE-101054136" 1 47.9
"4333" "PZE-101052733" 1 47.9
"4377" "PZE-101054457" 1 47.9
"4337" "PZE-101053028" 1 47.9
"4390" "PZE-101055099" 1 47.9
"4323" "PZE-101052221" 1 48
"4317" "PZE-101051938" 1 48
"4375" "PZE-101054372" 1 48
"4321" "PZE-101052027" 1 48
"4334" "PZE-101052759" 1 48.1
"2211" "PZA00192.7" 1 48.1
"2108" "PZA00017.1" 1 48.1
"2109" "PZA00017.4" 1 48.1
"4300" "PZE-101050075" 1 48.1
"4312" "PZE-101051733" 1 48.2
"4389" "PZE-101055086" 1 48.2
"4358" "PZE-101053715" 1 48.2
"4324" "PZE-101052294" 1 48.4
"4391" "PZE-101055111" 1 48.5
"4313" "PZE-101051764" 1 48.5
"4339" "PZE-101053053" 1 48.5
"4352" "PZE-101053646" 1 48.5
"4314" "PZE-101051858" 1 48.5
"4336" "PZE-101053027" 1 48.5
"4365" "PZE-101053934" 1 48.6
"4367" "PZE-101053954" 1 48.7
"4338" "PZE-101053031" 1 48.8
"4298" "PZE-101050072" 1 48.8
"4393" "PZE-101055223" 1 48.9
"4412" "PZE-101056156" 1 48.9
"4406" "PZE-101055906" 1 49
"4373" "PZE-101054366" 1 49.5
"4408" "PZE-101056000" 1 49.6
"4416" "PZE-101056856" 1 49.6
"4395" "PZE-101055260" 1 49.9
"4388" "PZE-101055029" 1 49.9
"4411" "PZE-101056102" 1 50
"4379" "PZE-101054527" 1 50.1
"4421" "PZE-101057141" 1 50.2
"4403" "PZE-101055774" 1 50.2
"4401" "PZE-101055749" 1 50.2
"4394" "PZE-101055259" 1 50.2
"4402" "PZE-101055771" 1 50.2
"4409" "PZE-101056007" 1 50.4
"4422" "PZE-101057190" 1 50.9
"4400" "PZE-101055712" 1 50.9
"4425" "PZE-101057532" 1 51.6
"4434" "PZE-101058154" 1 51.6
"4437" "PZE-101058210" 1 51.6
"4435" "PZE-101058157" 1 51.6
"2238" "PZA00240.6" 1 51.9
"2237" "PZA00240.4" 1 51.9
"4418" "PZE-101057000" 1 52.1
"4468" "PZE-101060303" 1 52.3
"4427" "PZE-101057783" 1 52.4
"4443" "PZE-101058312" 1 52.6
"4445" "PZE-101058333" 1 52.6
"4444" "PZE-101058322" 1 52.6
"4462" "PZE-101060218" 1 52.8
"4439" "PZE-101058274" 1 52.9
"4438" "PZE-101058273" 1 52.9
"4461" "PZE-101059816" 1 52.9
"4456" "PZE-101059325" 1 52.9
"4469" "PZE-101060335" 1 52.9
"4466" "PZE-101060288" 1 53.1
"4467" "PZE-101060289" 1 53.1
"4482" "PZE-101061587" 1 53.1
"4472" "PZE-101060788" 1 53.2
"4488" "PZE-101062072" 1 53.3
"4480" "PZE-101061168" 1 53.4
"4460" "PZE-101059784" 1 53.5
"4459" "PZE-101059783" 1 53.5
"4458" "PZE-101059495" 1 53.6
"4494" "PZE-101062737" 1 53.6
"4471" "PZE-101060785" 1 53.6
"4479" "PZE-101061114" 1 53.8
"4481" "PZE-101061225" 1 53.8
"4477" "PZE-101061035" 1 53.8
"4453" "PZE-101059072" 1 53.9
"4452" "PZE-101059068" 1 53.9
"4500" "PZE-101063036" 1 54
"4490" "PZE-101062213" 1 54
"4501" "PZE-101063074" 1 54.3
"4497" "PZE-101062857" 1 54.4
"4491" "PZE-101062246" 1 54.4
"4485" "PZE-101061930" 1 54.4
"4507" "PZE-101063328" 1 54.6
"4508" "PZE-101063406" 1 54.6
"4529" "PZE-101064766" 1 54.7
"4509" "PZE-101063527" 1 54.7
"4493" "PZE-101062642" 1 54.9
"4515" "PZE-101064334" 1 54.9
"4521" "PZE-101064466" 1 54.9
"4530" "PZE-101064790" 1 55
"4532" "PZE-101064865" 1 55
"4531" "PZE-101064805" 1 55.1
"4514" "PZE-101064331" 1 55.3
"4502" "PZE-101063113" 1 55.3
"4505" "PZE-101063271" 1 55.4
"4535" "PZE-101064893" 1 55.5
"4534" "PZE-101064883" 1 55.5
"4537" "PZE-101065040" 1 55.6
"4546" "PZE-101065653" 1 55.6
"4550" "PZE-101066061" 1 55.7
"4571" "PZE-101066537" 1 55.8
"4554" "PZE-101066275" 1 55.8
"4564" "PZE-101066462" 1 55.8
"4553" "PZE-101066271" 1 55.8
"4555" "PZE-101066291" 1 55.8
"4569" "PZE-101066505" 1 55.8
"3081" "PZA03672.1" 1 55.8
"4568" "PZE-101066497" 1 55.8
"4538" "PZE-101065086" 1 55.9
"4570" "PZE-101066516" 1 55.9
"4573" "PZE-101066588" 1 55.9
"4536" "PZE-101064994" 1 56
"4572" "PZE-101066560" 1 56
"4540" "PZE-101065132" 1 56.1
"4589" "PZE-101067102" 1 56.2
"4563" "PZE-101066420" 1 56.2
"4560" "PZE-101066401" 1 56.2
"4575" "PZE-101066687" 1 56.4
"4545" "PZE-101065651" 1 56.4
"4579" "PZE-101066898" 1 56.5
"4586" "PZE-101067021" 1 56.6
"4588" "PZE-101067088" 1 56.6
"4584" "PZE-101066970" 1 56.6
"4585" "PZE-101066977" 1 56.6
"4583" "PZE-101066969" 1 56.6
"4587" "PZE-101067031" 1 56.7
"4547" "PZE-101065728" 1 56.7
"4603" "PZE-101068100" 1 56.9
"4591" "PZE-101067487" 1 57
"4602" "PZE-101068099" 1 57.1
"4621" "PZE-101069140" 1 57.1
"4598" "PZE-101067809" 1 57.2
"4601" "PZE-101067998" 1 57.2
"4580" "PZE-101066907" 1 57.2
"4593" "PZE-101067576" 1 57.4
"4608" "PZE-101068578" 1 57.9
"4649" "PZE-101071285" 1 58.2
"4619" "PZE-101069059" 1 58.2
"4616" "PZE-101068888" 1 58.3
"4626" "PZE-101069294" 1 58.3
"4661" "PZE-101071795" 1 58.4
"3136" "PZA03746.1" 1 58.4
"4657" "PZE-101071680" 1 58.4
"4667" "PZE-101071912" 1 58.4
"4663" "PZE-101071843" 1 58.4
"4625" "PZE-101069270" 1 58.4
"4670" "PZE-101072150" 1 58.5
"4654" "PZE-101071660" 1 58.5
"4653" "PZE-101071564" 1 58.6
"4610" "PZE-101068682" 1 58.6
"4627" "PZE-101069307" 1 58.7
"4643" "PZE-101071092" 1 58.8
"4681" "PZE-101072822" 1 58.9
"4635" "PZE-101070408" 1 58.9
"4641" "PZE-101070910" 1 58.9
"4685" "PZE-101073000" 1 59
"4646" "PZE-101071208" 1 59.1
"4668" "PZE-101072075" 1 59.1
"4656" "PZE-101071675" 1 59.1
"4664" "PZE-101071870" 1 59.2
"4607" "PZE-101068426" 1 59.4
"4669" "PZE-101072147" 1 59.4
"4645" "PZE-101071162" 1 59.4
"4704" "PZE-101074049" 1 59.5
"4696" "PZE-101073492" 1 59.5
"4695" "PZE-101073491" 1 59.5
"4697" "PZE-101073493" 1 59.5
"4647" "PZE-101071273" 1 59.6
"4622" "PZE-101069158" 1 59.7
"4632" "PZE-101069879" 1 59.8
"4629" "PZE-101069709" 1 59.8
"4671" "PZE-101072206" 1 59.8
"4623" "PZE-101069159" 1 59.8
"4686" "PZE-101073032" 1 59.9
"4660" "PZE-101071793" 1 59.9
"4674" "PZE-101072651" 1 60
"4687" "PZE-101073078" 1 60
"4665" "PZE-101071897" 1 60.1
"4666" "PZE-101071898" 1 60.1
"4700" "PZE-101073593" 1 60.1
"4733" "PZE-101074969" 1 60.2
"4699" "PZE-101073495" 1 60.2
"4690" "PZE-101073233" 1 60.3
"4732" "PZE-101074929" 1 60.3
"4731" "PZE-101074852" 1 60.3
"4652" "PZE-101071373" 1 60.4
"4650" "PZE-101071289" 1 60.4
"4698" "PZE-101073494" 1 60.4
"4742" "PZE-101075225" 1 60.5
"4714" "PZE-101074451" 1 60.6
"4745" "PZE-101075328" 1 60.7
"4748" "PZE-101075340" 1 60.7
"4750" "PZE-101075379" 1 60.7
"4749" "PZE-101075378" 1 60.7
"4761" "PZE-101075844" 1 60.8
"4701" "PZE-101073696" 1 60.8
"4712" "PZE-101074389" 1 60.8
"4771" "PZE-101076734" 1 61
"4689" "PZE-101073230" 1 61.1
"4738" "PZE-101075097" 1 61.1
"4708" "PZE-101074193" 1 61.2
"4744" "PZE-101075295" 1 61.2
"2290" "PZA00328.1" 1 61.4
"4775" "PZE-101076890" 1 61.5
"4777" "PZE-101076940" 1 61.5
"4724" "PZE-101074687" 1 61.6
"4755" "PZE-101075523" 1 61.6
"4725" "PZE-101074699" 1 61.6
"4764" "PZE-101076213" 1 61.6
"4756" "PZE-101075629" 1 61.6
"4728" "PZE-101074779" 1 61.7
"4735" "PZE-101074998" 1 61.7
"4791" "PZE-101077314" 1 61.8
"4788" "PZE-101077213" 1 61.8
"4792" "PZE-101077385" 1 61.9
"4776" "PZE-101076915" 1 61.9
"4774" "PZE-101076881" 1 61.9
"4734" "PZE-101074977" 1 61.9
"2520" "PZA01315.1" 1 61.9
"4779" "PZE-101076946" 1 61.9
"4796" "PZE-101077491" 1 62
"4778" "PZE-101076941" 1 62.1
"4805" "PZE-101077867" 1 62.1
"4786" "PZE-101077013" 1 62.2
"4785" "PZE-101077008" 1 62.3
"4787" "PZE-101077016" 1 62.3
"4806" "PZE-101077878" 1 62.7
"4800" "PZE-101077708" 1 62.7
"4812" "PZE-101078239" 1 62.8
"4831" "PZE-101079160" 1 62.9
"4811" "PZE-101078074" 1 63
"4810" "PZE-101078026" 1 63
"4797" "PZE-101077530" 1 63
"4798" "PZE-101077537" 1 63.1
"4888" "PZE-101080594" 1 63.2
"6292" "PZE-101119968" 1 63.2
"6290" "PZE-101119915" 1 63.3
"4808" "PZE-101077919" 1 63.3
"4898" "PZE-101080722" 1 63.3
"4897" "PZE-101080712" 1 63.3
"4807" "PZE-101077918" 1 63.3
"4847" "PZE-101079903" 1 63.6
"4855" "PZE-101080259" 1 63.6
"4839" "PZE-101079806" 1 63.7
"4837" "PZE-101079797" 1 63.7
"4841" "PZE-101079825" 1 63.7
"6295" "PZE-101120125" 1 63.8
"4857" "PZE-101080306" 1 63.9
"4861" "PZE-101080333" 1 64
"4868" "PZE-101080378" 1 64
"4863" "PZE-101080365" 1 64
"4844" "PZE-101079844" 1 64
"4862" "PZE-101080334" 1 64
"4845" "PZE-101079876" 1 64
"4860" "PZE-101080322" 1 64.1
"4901" "PZE-101080824" 1 64.1
"4836" "PZE-101079485" 1 64.2
"4866" "PZE-101080376" 1 64.2
"4881" "PZE-101080470" 1 64.4
"4880" "PZE-101080466" 1 64.4
"4858" "PZE-101080314" 1 64.5
"4887" "PZE-101080531" 1 64.5
"4941" "PZE-101082165" 1 64.5
"4950" "PZE-101082375" 1 64.6
"6294" "PZE-101120118" 1 64.6
"6296" "PZE-101120159" 1 64.6
"4940" "PZE-101081964" 1 64.8
"6310" "PZE-101120367" 1 64.9
"6302" "PZE-101120262" 1 64.9
"6308" "PZE-101120365" 1 64.9
"4907" "PZE-101081131" 1 65
"6293" "PZE-101120107" 1 65
"4945" "PZE-101082238" 1 65.1
"6289" "PZE-101119846" 1 65.2
"4944" "PZE-101082227" 1 65.2
"4938" "PZE-101081952" 1 65.2
"4902" "PZE-101080848" 1 65.2
"4939" "PZE-101081959" 1 65.2
"4895" "PZE-101080672" 1 65.2
"4923" "PZE-101081610" 1 65.3
"4918" "PZE-101081565" 1 65.3
"4904" "PZE-101080941" 1 65.3
"4924" "PZE-101081634" 1 65.3
"4922" "PZE-101081602" 1 65.3
"4919" "PZE-101081568" 1 65.3
"4920" "PZE-101081596" 1 65.3
"4946" "PZE-101082298" 1 65.4
"4926" "PZE-101081700" 1 65.4
"6315" "PZE-101120380" 1 65.5
"6309" "PZE-101120366" 1 65.5
"4931" "PZE-101081855" 1 65.5
"6314" "PZE-101120379" 1 65.5
"4909" "PZE-101081178" 1 65.5
"4953" "PZE-101082408" 1 65.5
"4914" "PZE-101081483" 1 65.6
"4952" "PZE-101082380" 1 65.7
"4943" "PZE-101082224" 1 65.7
"4973" "PZE-101083295" 1 65.7
"4916" "PZE-101081497" 1 65.8
"4954" "PZE-101082480" 1 65.8
"4947" "PZE-101082329" 1 65.9
"4951" "PZE-101082376" 1 65.9
"4981" "PZE-101083533" 1 66
"4930" "PZE-101081844" 1 66.1
"4968" "PZE-101083105" 1 66.4
"4965" "PZE-101083051" 1 66.5
"4957" "PZE-101082552" 1 66.6
"4964" "PZE-101083000" 1 66.6
"4959" "PZE-101082768" 1 66.8
"4976" "PZE-101083417" 1 66.8
"4986" "PZE-101083742" 1 67
"4990" "PZE-101083752" 1 67
"4987" "PZE-101083745" 1 67
"4991" "PZE-101083753" 1 67
"4988" "PZE-101083749" 1 67
"4989" "PZE-101083751" 1 67
"4972" "PZE-101083165" 1 67
"4994" "PZE-101083788" 1 67.1
"5006" "PZE-101083968" 1 67.2
"5185" "PZE-101090535" 1 67.3
"4978" "PZE-101083422" 1 67.4
"5004" "PZE-101083950" 1 67.5
"4996" "PZE-101083824" 1 67.5
"5005" "PZE-101083961" 1 67.5
"4997" "PZE-101083825" 1 67.5
"5027" "PZE-101084593" 1 67.6
"5098" "PZE-101086591" 1 67.7
"5012" "PZE-101084058" 1 67.7
"4985" "PZE-101083643" 1 67.8
"5014" "PZE-101084096" 1 67.8
"5001" "PZE-101083913" 1 68
"5034" "PZE-101084695" 1 68.1
"4984" "PZE-101083582" 1 68.1
"5032" "PZE-101084676" 1 68.1
"5010" "PZE-101084026" 1 68.1
"5031" "PZE-101084674" 1 68.1
"5033" "PZE-101084685" 1 68.1
"5038" "PZE-101084850" 1 68.2
"5089" "PZE-101086195" 1 68.2
"5105" "PZE-101086985" 1 68.2
"5090" "PZE-101086197" 1 68.2
"5024" "PZE-101084523" 1 68.3
"5011" "PZE-101084038" 1 68.4
"5070" "PZE-101085668" 1 68.4
"5002" "PZE-101083914" 1 68.4
"5000" "PZE-101083876" 1 68.4
"5003" "PZE-101083942" 1 68.4
"5075" "PZE-101085779" 1 68.5
"5096" "PZE-101086524" 1 68.5
"5009" "PZE-101084013" 1 68.5
"5028" "PZE-101084617" 1 68.5
"5046" "PZE-101085101" 1 68.6
"5064" "PZE-101085454" 1 68.6
"5106" "PZE-101087051" 1 68.6
"5039" "PZE-101084888" 1 68.6
"5008" "PZE-101083984" 1 68.6
"5048" "PZE-101085145" 1 68.8
"5086" "PZE-101086107" 1 68.8
"5045" "PZE-101085077" 1 68.9
"5041" "PZE-101084990" 1 68.9
"5060" "PZE-101085336" 1 69.1
"5067" "PZE-101085526" 1 69.1
"5058" "PZE-101085273" 1 69.1
"5057" "PZE-101085272" 1 69.1
"5063" "PZE-101085393" 1 69.2
"5099" "PZE-101086606" 1 69.2
"5056" "PZE-101085267" 1 69.2
"5054" "PZE-101085247" 1 69.2
"5113" "PZE-101087257" 1 69.3
"5115" "PZE-101087264" 1 69.3
"5165" "PZE-101089121" 1 69.3
"5053" "PZE-101085246" 1 69.3
"5157" "PZE-101088597" 1 69.3
"5112" "PZE-101087242" 1 69.3
"5163" "PZE-101089048" 1 69.4
"5162" "PZE-101089047" 1 69.4
"2459" "PZA00714.1" 1 69.5
"5107" "PZE-101087151" 1 69.5
"5135" "PZE-101087759" 1 69.7
"5137" "PZE-101087816" 1 69.7
"5134" "PZE-101087758" 1 69.7
"5081" "PZE-101085916" 1 69.7
"5077" "PZE-101085867" 1 69.7
"5139" "PZE-101087906" 1 69.8
"5138" "PZE-101087901" 1 69.8
"5109" "PZE-101087190" 1 69.8
"5140" "PZE-101087935" 1 69.8
"5129" "PZE-101087614" 1 69.9
"5101" "PZE-101086725" 1 70
"5130" "PZE-101087626" 1 70
"5119" "PZE-101087431" 1 70
"5068" "PZE-101085546" 1 70.1
"5080" "PZE-101085910" 1 70.1
"5082" "PZE-101085917" 1 70.1
"5079" "PZE-101085909" 1 70.1
"5085" "PZE-101086075" 1 70.2
"5120" "PZE-101087443" 1 70.4
"5071" "PZE-101085696" 1 70.4
"5091" "PZE-101086287" 1 70.4
"5097" "PZE-101086586" 1 70.4
"5141" "PZE-101087969" 1 70.4
"5111" "PZE-101087212" 1 70.5
"5108" "PZE-101087156" 1 70.6
"5150" "PZE-101088198" 1 70.6
"5084" "PZE-101086015" 1 70.6
"5167" "PZE-101089322" 1 70.7
"5121" "PZE-101087503" 1 70.7
"5161" "PZE-101089042" 1 70.7
"5153" "PZE-101088337" 1 70.7
"5179" "PZE-101090321" 1 70.8
"5104" "PZE-101086823" 1 70.8
"5183" "PZE-101090371" 1 70.8
"5181" "PZE-101090347" 1 70.8
"5145" "PZE-101088153" 1 70.8
"5146" "PZE-101088154" 1 70.8
