"mk.id" "chr" "cM"
"4125" "PZE-101039199" 1 41.9
"4156" "PZE-101041088" 1 42
"4153" "PZE-101040838" 1 42
"4165" "PZE-101042009" 1 42.4
"4146" "PZE-101040607" 1 42.5
"4147" "PZE-101040619" 1 42.5
"4139" "PZE-101039655" 1 42.5
"4158" "PZE-101041380" 1 42.5
"4157" "PZE-101041178" 1 42.5
"4136" "PZE-101039624" 1 42.6
"4137" "PZE-101039642" 1 42.6
"4138" "PZE-101039648" 1 42.6
"4150" "PZE-101040678" 1 42.6
"4149" "PZE-101040677" 1 42.6
"4128" "PZE-101039351" 1 42.8
"4134" "PZE-101039466" 1 42.9
"4168" "PZE-101042040" 1 42.9
"4167" "PZE-101042039" 1 42.9
"4135" "PZE-101039469" 1 43
"4176" "PZE-101042341" 1 43.1
"4169" "PZE-101042041" 1 43.1
"4190" "PZE-101043604" 1 43.2
"4170" "PZE-101042048" 1 43.3
"4178" "PZE-101043094" 1 43.3
"4179" "PZE-101043096" 1 43.3
"4161" "PZE-101041837" 1 43.4
"4162" "PZE-101041854" 1 43.5
"4164" "PZE-101041995" 1 43.6
"4184" "PZE-101043331" 1 43.6
"4151" "PZE-101040783" 1 43.6
"4159" "PZE-101041588" 1 43.6
"4189" "PZE-101043600" 1 43.8
"4182" "PZE-101043189" 1 43.9
"4180" "PZE-101043180" 1 43.9
"4181" "PZE-101043186" 1 43.9
"4196" "PZE-101043682" 1 44
"4201" "PZE-101044313" 1 44
"4186" "PZE-101043507" 1 44.1
"4219" "PZE-101045064" 1 44.1
"4215" "PZE-101045001" 1 44.1
"4218" "PZE-101045061" 1 44.2
"4172" "PZE-101042156" 1 44.2
"4171" "PZE-101042060" 1 44.2
"4173" "PZE-101042195" 1 44.2
"4211" "PZE-101044778" 1 44.2
"4191" "PZE-101043656" 1 44.2
"4213" "PZE-101044879" 1 44.2
"4174" "PZE-101042196" 1 44.2
"4193" "PZE-101043670" 1 44.3
"4208" "PZE-101044721" 1 44.3
"4226" "PZE-101045145" 1 44.3
"4192" "PZE-101043669" 1 44.3
"4216" "PZE-101045009" 1 44.4
"4177" "PZE-101042424" 1 44.4
"4205" "PZE-101044686" 1 44.4
"4227" "PZE-101045153" 1 44.5
"4187" "PZE-101043512" 1 44.5
"4231" "PZE-101045249" 1 44.6
"4221" "PZE-101045070" 1 44.6
"4220" "PZE-101045068" 1 44.6
"4229" "PZE-101045203" 1 44.9
"4217" "PZE-101045021" 1 45
"4228" "PZE-101045197" 1 45.1
"4255" "PZE-101046755" 1 45.2
"4250" "PZE-101046128" 1 45.3
"4254" "PZE-101046735" 1 45.3
"4234" "PZE-101045444" 1 45.4
"4286" "PZE-101049120" 1 45.4
"4267" "PZE-101047611" 1 45.4
"4285" "PZE-101049091" 1 45.4
"4238" "PZE-101045505" 1 45.5
"4239" "PZE-101045519" 1 45.5
"4258" "PZE-101046858" 1 45.5
"4209" "PZE-101044748" 1 45.5
"4259" "PZE-101046859" 1 45.5
"4240" "PZE-101045549" 1 45.5
"2433" "PZA00654.10" 1 45.5
"4237" "PZE-101045481" 1 45.5
"4241" "PZE-101045606" 1 45.6
"4263" "PZE-101047239" 1 45.6
"4245" "PZE-101046057" 1 45.7
"4272" "PZE-101048164" 1 45.7
"4264" "PZE-101047349" 1 45.7
"4271" "PZE-101048115" 1 45.8
"4210" "PZE-101044770" 1 45.8
"4273" "PZE-101048542" 1 45.9
"4279" "PZE-101048857" 1 45.9
"4302" "PZE-101050207" 1 46
"4251" "PZE-101046132" 1 46
"4294" "PZE-101049707" 1 46.1
"4270" "PZE-101047925" 1 46.2
"4265" "PZE-101047390" 1 46.3
"4278" "PZE-101048807" 1 46.5
"4246" "PZE-101046080" 1 46.5
"4293" "PZE-101049608" 1 46.5
"4276" "PZE-101048629" 1 46.6
"4281" "PZE-101048892" 1 46.6
"4277" "PZE-101048744" 1 46.7
"4266" "PZE-101047517" 1 46.8
"4289" "PZE-101049395" 1 46.9
"4303" "PZE-101050289" 1 47
"4305" "PZE-101050299" 1 47
"4296" "PZE-101049995" 1 47.1
"4297" "PZE-101050010" 1 47.1
"4301" "PZE-101050128" 1 47.1
"4290" "PZE-101049396" 1 47.1
"4357" "PZE-101053708" 1 47.1
"4280" "PZE-101048890" 1 47.2
"4306" "PZE-101050621" 1 47.3
"4360" "PZE-101053810" 1 47.4
"4387" "PZE-101054681" 1 47.4
"4364" "PZE-101053919" 1 47.5
"4299" "PZE-101050073" 1 47.6
"4356" "PZE-101053696" 1 47.6
"4326" "PZE-101052571" 1 47.8
"4331" "PZE-101052652" 1 47.8
"4307" "PZE-101050744" 1 47.8
"4329" "PZE-101052634" 1 47.8
"4330" "PZE-101052635" 1 47.8
"4322" "PZE-101052155" 1 47.9
"4369" "PZE-101054136" 1 47.9
"4333" "PZE-101052733" 1 47.9
"4377" "PZE-101054457" 1 47.9
"4337" "PZE-101053028" 1 47.9
"4390" "PZE-101055099" 1 47.9
"4335" "PZE-101052767" 1 47.9
"4323" "PZE-101052221" 1 48
"4317" "PZE-101051938" 1 48
"4375" "PZE-101054372" 1 48
"4321" "PZE-101052027" 1 48
"4334" "PZE-101052759" 1 48.1
"2211" "PZA00192.7" 1 48.1
"2108" "PZA00017.1" 1 48.1
"2109" "PZA00017.4" 1 48.1
"4348" "PZE-101053438" 1 48.1
"4300" "PZE-101050075" 1 48.1
"4312" "PZE-101051733" 1 48.2
"4389" "PZE-101055086" 1 48.2
"4358" "PZE-101053715" 1 48.2
"4324" "PZE-101052294" 1 48.4
"4391" "PZE-101055111" 1 48.5
"4313" "PZE-101051764" 1 48.5
"4339" "PZE-101053053" 1 48.5
"4349" "PZE-101053445" 1 48.5
"4352" "PZE-101053646" 1 48.5
"4314" "PZE-101051858" 1 48.5
"4336" "PZE-101053027" 1 48.5
"4365" "PZE-101053934" 1 48.6
"4367" "PZE-101053954" 1 48.7
"4338" "PZE-101053031" 1 48.8
"4298" "PZE-101050072" 1 48.8
"4393" "PZE-101055223" 1 48.9
"4412" "PZE-101056156" 1 48.9
"4363" "PZE-101053899" 1 48.9
"4362" "PZE-101053897" 1 48.9
"4340" "PZE-101053184" 1 49
"4343" "PZE-101053346" 1 49
"4406" "PZE-101055906" 1 49
"4346" "PZE-101053413" 1 49
"4350" "PZE-101053504" 1 49.1
"4351" "PZE-101053510" 1 49.1
"4385" "PZE-101054644" 1 49.2
"4380" "PZE-101054533" 1 49.2
"4382" "PZE-101054564" 1 49.2
"4376" "PZE-101054452" 1 49.3
"4392" "PZE-101055190" 1 49.4
"4373" "PZE-101054366" 1 49.5
"4408" "PZE-101056000" 1 49.6
"4416" "PZE-101056856" 1 49.6
"4374" "PZE-101054371" 1 49.8
"4368" "PZE-101054047" 1 49.8
"4383" "PZE-101054604" 1 49.8
"4395" "PZE-101055260" 1 49.9
"4381" "PZE-101054561" 1 49.9
"4411" "PZE-101056102" 1 50
"4379" "PZE-101054527" 1 50.1
"4403" "PZE-101055774" 1 50.2
"4401" "PZE-101055749" 1 50.2
"4394" "PZE-101055259" 1 50.2
"4402" "PZE-101055771" 1 50.2
"4399" "PZE-101055565" 1 50.3
"4415" "PZE-101056687" 1 50.5
"2239" "PZA00240.8" 1 50.7
"4422" "PZE-101057190" 1 50.9
"4400" "PZE-101055712" 1 50.9
"4413" "PZE-101056681" 1 51.1
"4417" "PZE-101056999" 1 51.3
"4423" "PZE-101057232" 1 51.3
"4425" "PZE-101057532" 1 51.6
"4434" "PZE-101058154" 1 51.6
"4437" "PZE-101058210" 1 51.6
"4435" "PZE-101058157" 1 51.6
"2238" "PZA00240.6" 1 51.9
"2237" "PZA00240.4" 1 51.9
"4418" "PZE-101057000" 1 52.1
"4436" "PZE-101058205" 1 52.2
"4464" "PZE-101060251" 1 52.2
"4468" "PZE-101060303" 1 52.3
"4470" "PZE-101060630" 1 52.4
"4427" "PZE-101057783" 1 52.4
"4474" "PZE-101060842" 1 52.5
"4473" "PZE-101060841" 1 52.5
"4443" "PZE-101058312" 1 52.6
"4445" "PZE-101058333" 1 52.6
"4444" "PZE-101058322" 1 52.6
"4449" "PZE-101058806" 1 52.7
"4478" "PZE-101061064" 1 52.7
"4463" "PZE-101060224" 1 52.8
"4462" "PZE-101060218" 1 52.8
"4439" "PZE-101058274" 1 52.9
"4438" "PZE-101058273" 1 52.9
"4461" "PZE-101059816" 1 52.9
"4456" "PZE-101059325" 1 52.9
"4469" "PZE-101060335" 1 52.9
"4495" "PZE-101062764" 1 53
"4466" "PZE-101060288" 1 53.1
"4467" "PZE-101060289" 1 53.1
"4482" "PZE-101061587" 1 53.1
"4487" "PZE-101062009" 1 53.1
"4472" "PZE-101060788" 1 53.2
"4465" "PZE-101060254" 1 53.3
"4488" "PZE-101062072" 1 53.3
"4480" "PZE-101061168" 1 53.4
"4460" "PZE-101059784" 1 53.5
"4498" "PZE-101062970" 1 53.5
"4459" "PZE-101059783" 1 53.5
"4458" "PZE-101059495" 1 53.6
"4494" "PZE-101062737" 1 53.6
"4471" "PZE-101060785" 1 53.6
"4479" "PZE-101061114" 1 53.8
"4481" "PZE-101061225" 1 53.8
"4512" "PZE-101064187" 1 53.8
"4477" "PZE-101061035" 1 53.8
"4453" "PZE-101059072" 1 53.9
"4452" "PZE-101059068" 1 53.9
"4500" "PZE-101063036" 1 54
"4499" "PZE-101063002" 1 54.3
"4497" "PZE-101062857" 1 54.4
"4527" "PZE-101064634" 1 54.4
"4526" "PZE-101064619" 1 54.4
"4491" "PZE-101062246" 1 54.4
"4485" "PZE-101061930" 1 54.4
"4518" "PZE-101064448" 1 54.6
"4507" "PZE-101063328" 1 54.6
"4529" "PZE-101064766" 1 54.7
"4493" "PZE-101062642" 1 54.9
"4521" "PZE-101064466" 1 54.9
"4530" "PZE-101064790" 1 55
"4524" "PZE-101064527" 1 55
"4523" "PZE-101064479" 1 55
"4520" "PZE-101064465" 1 55
"4522" "PZE-101064477" 1 55
"4532" "PZE-101064865" 1 55
"4533" "PZE-101064875" 1 55.1
"4514" "PZE-101064331" 1 55.3
"4502" "PZE-101063113" 1 55.3
"4505" "PZE-101063271" 1 55.4
"4548" "PZE-101065758" 1 55.5
"4535" "PZE-101064893" 1 55.5
"4556" "PZE-101066317" 1 55.5
"4534" "PZE-101064883" 1 55.5
"4558" "PZE-101066357" 1 55.5
"4537" "PZE-101065040" 1 55.6
"2142" "PZA00065.2" 1 55.6
"4546" "PZE-101065653" 1 55.6
"4559" "PZE-101066379" 1 55.6
"4571" "PZE-101066537" 1 55.8
"4564" "PZE-101066462" 1 55.8
"4555" "PZE-101066291" 1 55.8
"4569" "PZE-101066505" 1 55.8
"4568" "PZE-101066497" 1 55.8
"4578" "PZE-101066885" 1 55.9
"4577" "PZE-101066827" 1 55.9
"4570" "PZE-101066516" 1 55.9
"4573" "PZE-101066588" 1 55.9
"4581" "PZE-101066925" 1 55.9
"4582" "PZE-101066968" 1 56
"4536" "PZE-101064994" 1 56
"4572" "PZE-101066560" 1 56
"4542" "PZE-101065262" 1 56
"4540" "PZE-101065132" 1 56.1
"4589" "PZE-101067102" 1 56.2
"4541" "PZE-101065183" 1 56.2
"4599" "PZE-101067972" 1 56.4
"4600" "PZE-101067978" 1 56.4
"4545" "PZE-101065651" 1 56.4
"4547" "PZE-101065728" 1 56.7
"4613" "PZE-101068716" 1 56.8
"4624" "PZE-101069206" 1 56.9
"4591" "PZE-101067487" 1 57
"4628" "PZE-101069343" 1 57
"4621" "PZE-101069140" 1 57.1
"4598" "PZE-101067809" 1 57.2
"4601" "PZE-101067998" 1 57.2
"4580" "PZE-101066907" 1 57.2
"4595" "PZE-101067639" 1 57.3
"4593" "PZE-101067576" 1 57.4
"4614" "PZE-101068745" 1 57.4
"4609" "PZE-101068676" 1 57.6
"4608" "PZE-101068578" 1 57.9
"4618" "PZE-101069006" 1 58.1
"4649" "PZE-101071285" 1 58.2
"4619" "PZE-101069059" 1 58.2
"4616" "PZE-101068888" 1 58.3
"4637" "PZE-101070781" 1 58.3
"4626" "PZE-101069294" 1 58.3
"4661" "PZE-101071795" 1 58.4
"3136" "PZA03746.1" 1 58.4
"4657" "PZE-101071680" 1 58.4
"4667" "PZE-101071912" 1 58.4
"4662" "PZE-101071808" 1 58.4
"4663" "PZE-101071843" 1 58.4
"4625" "PZE-101069270" 1 58.4
"4670" "PZE-101072150" 1 58.5
"4644" "PZE-101071115" 1 58.5
"4642" "PZE-101070948" 1 58.5
"4653" "PZE-101071564" 1 58.6
"4610" "PZE-101068682" 1 58.6
"4627" "PZE-101069307" 1 58.7
"4643" "PZE-101071092" 1 58.8
"4681" "PZE-101072822" 1 58.9
"4635" "PZE-101070408" 1 58.9
"4641" "PZE-101070910" 1 58.9
"4655" "PZE-101071663" 1 59
"4685" "PZE-101073000" 1 59
"4673" "PZE-101072259" 1 59
"4639" "PZE-101070841" 1 59
"4646" "PZE-101071208" 1 59.1
"4668" "PZE-101072075" 1 59.1
"4636" "PZE-101070701" 1 59.1
"4656" "PZE-101071675" 1 59.1
"4664" "PZE-101071870" 1 59.2
"4638" "PZE-101070816" 1 59.3
"4684" "PZE-101072870" 1 59.4
"4651" "PZE-101071350" 1 59.4
"4683" "PZE-101072856" 1 59.4
"4607" "PZE-101068426" 1 59.4
"4672" "PZE-101072224" 1 59.4
"4702" "PZE-101073762" 1 59.4
"4645" "PZE-101071162" 1 59.4
"4703" "PZE-101074011" 1 59.5
"4704" "PZE-101074049" 1 59.5
"4696" "PZE-101073492" 1 59.5
"4695" "PZE-101073491" 1 59.5
"4697" "PZE-101073493" 1 59.5
"4647" "PZE-101071273" 1 59.6
"4622" "PZE-101069158" 1 59.7
"4632" "PZE-101069879" 1 59.8
"4629" "PZE-101069709" 1 59.8
"4671" "PZE-101072206" 1 59.8
"4623" "PZE-101069159" 1 59.8
"4686" "PZE-101073032" 1 59.9
"4660" "PZE-101071793" 1 59.9
"4678" "PZE-101072745" 1 59.9
"4677" "PZE-101072744" 1 59.9
"4676" "PZE-101072743" 1 59.9
"4674" "PZE-101072651" 1 60
"4687" "PZE-101073078" 1 60
"4665" "PZE-101071897" 1 60.1
"4666" "PZE-101071898" 1 60.1
"4700" "PZE-101073593" 1 60.1
"4699" "PZE-101073495" 1 60.2
"4690" "PZE-101073233" 1 60.3
"4741" "PZE-101075177" 1 60.3
"4652" "PZE-101071373" 1 60.4
"4650" "PZE-101071289" 1 60.4
"4698" "PZE-101073494" 1 60.4
"4742" "PZE-101075225" 1 60.5
"4723" "PZE-101074651" 1 60.5
"4714" "PZE-101074451" 1 60.6
"4745" "PZE-101075328" 1 60.7
"4748" "PZE-101075340" 1 60.7
"4750" "PZE-101075379" 1 60.7
"4749" "PZE-101075378" 1 60.7
"4701" "PZE-101073696" 1 60.8
"4736" "PZE-101075062" 1 60.9
"4737" "PZE-101075081" 1 60.9
"4739" "PZE-101075099" 1 60.9
"4765" "PZE-101076333" 1 61
"4759" "PZE-101075790" 1 61
"4771" "PZE-101076734" 1 61
"4689" "PZE-101073230" 1 61.1
"4738" "PZE-101075097" 1 61.1
"4708" "PZE-101074193" 1 61.2
"2290" "PZA00328.1" 1 61.4
"4775" "PZE-101076890" 1 61.5
"4724" "PZE-101074687" 1 61.6
"4755" "PZE-101075523" 1 61.6
"4725" "PZE-101074699" 1 61.6
"4764" "PZE-101076213" 1 61.6
"4756" "PZE-101075629" 1 61.6
"4728" "PZE-101074779" 1 61.7
"4735" "PZE-101074998" 1 61.7
"4788" "PZE-101077213" 1 61.8
"4774" "PZE-101076881" 1 61.9
"4734" "PZE-101074977" 1 61.9
"2520" "PZA01315.1" 1 61.9
"4767" "PZE-101076601" 1 61.9
"4796" "PZE-101077491" 1 62
"4801" "PZE-101077709" 1 62.1
"4773" "PZE-101076878" 1 62.1
"4802" "PZE-101077713" 1 62.1
"4805" "PZE-101077867" 1 62.1
"4785" "PZE-101077008" 1 62.3
"4787" "PZE-101077016" 1 62.3
"4824" "PZE-101078906" 1 62.5
"4806" "PZE-101077878" 1 62.7
"4820" "PZE-101078745" 1 62.7
"4800" "PZE-101077708" 1 62.7
"4812" "PZE-101078239" 1 62.8
"4831" "PZE-101079160" 1 62.9
"4813" "PZE-101078409" 1 62.9
"4797" "PZE-101077530" 1 63
"4798" "PZE-101077537" 1 63.1
"4888" "PZE-101080594" 1 63.2
"4821" "PZE-101078752" 1 63.2
"4815" "PZE-101078656" 1 63.2
"4808" "PZE-101077919" 1 63.3
"4898" "PZE-101080722" 1 63.3
"4897" "PZE-101080712" 1 63.3
"4807" "PZE-101077918" 1 63.3
"4833" "PZE-101079205" 1 63.4
"4828" "PZE-101079070" 1 63.4
"4846" "PZE-101079899" 1 63.4
"4848" "PZE-101079935" 1 63.5
"4834" "PZE-101079342" 1 63.5
"4889" "PZE-101080600" 1 63.6
"4890" "PZE-101080614" 1 63.6
"4899" "PZE-101080725" 1 63.6
"2963" "PZA03500.1" 1 63.6
"4847" "PZE-101079903" 1 63.6
"4855" "PZE-101080259" 1 63.6
"4839" "PZE-101079806" 1 63.7
"4835" "PZE-101079397" 1 63.7
"4837" "PZE-101079797" 1 63.7
"4841" "PZE-101079825" 1 63.7
"6295" "PZE-101120125" 1 63.8
"4857" "PZE-101080306" 1 63.9
"4885" "PZE-101080509" 1 63.9
"4861" "PZE-101080333" 1 64
"4868" "PZE-101080378" 1 64
"4863" "PZE-101080365" 1 64
"4844" "PZE-101079844" 1 64
"4862" "PZE-101080334" 1 64
"4845" "PZE-101079876" 1 64
"4860" "PZE-101080322" 1 64.1
"4836" "PZE-101079485" 1 64.2
"4866" "PZE-101080376" 1 64.2
"6303" "PZE-101120269" 1 64.3
"4881" "PZE-101080470" 1 64.4
"4880" "PZE-101080466" 1 64.4
"4858" "PZE-101080314" 1 64.5
"6313" "PZE-101120377" 1 64.5
"4887" "PZE-101080531" 1 64.5
"6311" "PZE-101120371" 1 64.5
"4941" "PZE-101082165" 1 64.5
"4950" "PZE-101082375" 1 64.6
"6294" "PZE-101120118" 1 64.6
"6296" "PZE-101120159" 1 64.6
"4940" "PZE-101081964" 1 64.8
"6310" "PZE-101120367" 1 64.9
"6302" "PZE-101120262" 1 64.9
"6308" "PZE-101120365" 1 64.9
"4907" "PZE-101081131" 1 65
"6293" "PZE-101120107" 1 65
"4945" "PZE-101082238" 1 65.1
"4944" "PZE-101082227" 1 65.2
"4938" "PZE-101081952" 1 65.2
"4902" "PZE-101080848" 1 65.2
"4939" "PZE-101081959" 1 65.2
"4895" "PZE-101080672" 1 65.2
